"TIME PERIODS"
per_idx,per_name
1,Jan1963
2,Feb1963
3,Mar1963
4,Apr1963
5,May1963
6,Jun1963
7,Jul1963
8,Aug1963
9,Sep1963
10,Oct1963
11,Nov1963
12,Dec1963
13,Jan1964
14,Feb1964
15,Mar1964
16,Apr1964
17,May1964
18,Jun1964
19,Jul1964
20,Aug1964
21,Sep1964
22,Oct1964
23,Nov1964
24,Dec1964
25,Jan1965
26,Feb1965
27,Mar1965
28,Apr1965
29,May1965
30,Jun1965
31,Jul1965
32,Aug1965
33,Sep1965
34,Oct1965
35,Nov1965
36,Dec1965
37,Jan1966
38,Feb1966
39,Mar1966
40,Apr1966
41,May1966
42,Jun1966
43,Jul1966
44,Aug1966
45,Sep1966
46,Oct1966
47,Nov1966
48,Dec1966
49,Jan1967
50,Feb1967
51,Mar1967
52,Apr1967
53,May1967
54,Jun1967
55,Jul1967
56,Aug1967
57,Sep1967
58,Oct1967
59,Nov1967
60,Dec1967
61,Jan1968
62,Feb1968
63,Mar1968
64,Apr1968
65,May1968
66,Jun1968
67,Jul1968
68,Aug1968
69,Sep1968
70,Oct1968
71,Nov1968
72,Dec1968
73,Jan1969
74,Feb1969
75,Mar1969
76,Apr1969
77,May1969
78,Jun1969
79,Jul1969
80,Aug1969
81,Sep1969
82,Oct1969
83,Nov1969
84,Dec1969
85,Jan1970
86,Feb1970
87,Mar1970
88,Apr1970
89,May1970
90,Jun1970
91,Jul1970
92,Aug1970
93,Sep1970
94,Oct1970
95,Nov1970
96,Dec1970
97,Jan1971
98,Feb1971
99,Mar1971
100,Apr1971
101,May1971
102,Jun1971
103,Jul1971
104,Aug1971
105,Sep1971
106,Oct1971
107,Nov1971
108,Dec1971
109,Jan1972
110,Feb1972
111,Mar1972
112,Apr1972
113,May1972
114,Jun1972
115,Jul1972
116,Aug1972
117,Sep1972
118,Oct1972
119,Nov1972
120,Dec1972
121,Jan1973
122,Feb1973
123,Mar1973
124,Apr1973
125,May1973
126,Jun1973
127,Jul1973
128,Aug1973
129,Sep1973
130,Oct1973
131,Nov1973
132,Dec1973
133,Jan1974
134,Feb1974
135,Mar1974
136,Apr1974
137,May1974
138,Jun1974
139,Jul1974
140,Aug1974
141,Sep1974
142,Oct1974
143,Nov1974
144,Dec1974
145,Jan1975
146,Feb1975
147,Mar1975
148,Apr1975
149,May1975
150,Jun1975
151,Jul1975
152,Aug1975
153,Sep1975
154,Oct1975
155,Nov1975
156,Dec1975
157,Jan1976
158,Feb1976
159,Mar1976
160,Apr1976
161,May1976
162,Jun1976
163,Jul1976
164,Aug1976
165,Sep1976
166,Oct1976
167,Nov1976
168,Dec1976
169,Jan1977
170,Feb1977
171,Mar1977
172,Apr1977
173,May1977
174,Jun1977
175,Jul1977
176,Aug1977
177,Sep1977
178,Oct1977
179,Nov1977
180,Dec1977
181,Jan1978
182,Feb1978
183,Mar1978
184,Apr1978
185,May1978
186,Jun1978
187,Jul1978
188,Aug1978
189,Sep1978
190,Oct1978
191,Nov1978
192,Dec1978
193,Jan1979
194,Feb1979
195,Mar1979
196,Apr1979
197,May1979
198,Jun1979
199,Jul1979
200,Aug1979
201,Sep1979
202,Oct1979
203,Nov1979
204,Dec1979
205,Jan1980
206,Feb1980
207,Mar1980
208,Apr1980
209,May1980
210,Jun1980
211,Jul1980
212,Aug1980
213,Sep1980
214,Oct1980
215,Nov1980
216,Dec1980
217,Jan1981
218,Feb1981
219,Mar1981
220,Apr1981
221,May1981
222,Jun1981
223,Jul1981
224,Aug1981
225,Sep1981
226,Oct1981
227,Nov1981
228,Dec1981
229,Jan1982
230,Feb1982
231,Mar1982
232,Apr1982
233,May1982
234,Jun1982
235,Jul1982
236,Aug1982
237,Sep1982
238,Oct1982
239,Nov1982
240,Dec1982
241,Jan1983
242,Feb1983
243,Mar1983
244,Apr1983
245,May1983
246,Jun1983
247,Jul1983
248,Aug1983
249,Sep1983
250,Oct1983
251,Nov1983
252,Dec1983
253,Jan1984
254,Feb1984
255,Mar1984
256,Apr1984
257,May1984
258,Jun1984
259,Jul1984
260,Aug1984
261,Sep1984
262,Oct1984
263,Nov1984
264,Dec1984
265,Jan1985
266,Feb1985
267,Mar1985
268,Apr1985
269,May1985
270,Jun1985
271,Jul1985
272,Aug1985
273,Sep1985
274,Oct1985
275,Nov1985
276,Dec1985
277,Jan1986
278,Feb1986
279,Mar1986
280,Apr1986
281,May1986
282,Jun1986
283,Jul1986
284,Aug1986
285,Sep1986
286,Oct1986
287,Nov1986
288,Dec1986
289,Jan1987
290,Feb1987
291,Mar1987
292,Apr1987
293,May1987
294,Jun1987
295,Jul1987
296,Aug1987
297,Sep1987
298,Oct1987
299,Nov1987
300,Dec1987
301,Jan1988
302,Feb1988
303,Mar1988
304,Apr1988
305,May1988
306,Jun1988
307,Jul1988
308,Aug1988
309,Sep1988
310,Oct1988
311,Nov1988
312,Dec1988
313,Jan1989
314,Feb1989
315,Mar1989
316,Apr1989
317,May1989
318,Jun1989
319,Jul1989
320,Aug1989
321,Sep1989
322,Oct1989
323,Nov1989
324,Dec1989
325,Jan1990
326,Feb1990
327,Mar1990
328,Apr1990
329,May1990
330,Jun1990
331,Jul1990
332,Aug1990
333,Sep1990
334,Oct1990
335,Nov1990
336,Dec1990
337,Jan1991
338,Feb1991
339,Mar1991
340,Apr1991
341,May1991
342,Jun1991
343,Jul1991
344,Aug1991
345,Sep1991
346,Oct1991
347,Nov1991
